,movie_title,imdb_score_scaled,budget_scaled,num_voted_users_scaled,movie_facebook_likes_scaled,cast_total_facebook_likes_scaled,num_critic_for_reviews_scaled,gross_scaled,Approved,G,GP,M,NC-17,Not Rated,PG,PG-13,Passed,R,TV-14,TV-G,TV-MA,TV-PG,TV-Y7,Unrated,X,unknown
102,X-Men: First Class ,1.2735467369906188,2.9108712610451697,2.9031005953668556,2.2868177289757736,2.008930509518087,2.890035649598146,1.2714469483908057,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
103,The Hunger Games: Mockingjay - Part 2 ,0.2067546079671961,2.9108712610451697,0.5099053192606522,1.4922450351935306,3.532319101352059,1.9899898336062614,3.1573483336976578,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
104,The Sorcerer's Apprentice ,-0.23774211245923,2.676584621252335,0.22500370682249257,0.15140361443599476,0.12511384910106996,0.741277620428331,0.11055465260564379,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105,Poseidon ,-0.6822388328856561,2.9108712610451697,-0.05889960906178617,-0.3948651125392976,4.087066654151016,0.7088435369691639,0.07586086615332814,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,Alice Through the Looking Glass ,0.028955919796626303,3.145157900838004,-0.47334887498179007,1.0949586883024087,3.5033064707793375,0.6034327657268711,0.30160907282605387,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,Shrek the Third ,-0.23774211245923,2.9108712610451697,0.8211701100808898,-0.3948651125392976,-0.3099753931492548,0.6764094535099969,3.701680441256156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,Warcraft ,0.8290500165641927,2.9108712610451697,0.13959841796803285,4.024945496624431,-0.269888856952058,1.0656184550200012,-0.11482680485754175,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,Terminator Genisys ,0.2067546079671961,2.7937279411487523,0.6614834082580712,3.6773199430947,1.4021205678330204,2.6792141071135607,0.4812667028005944,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
110,The Chronicles of Narnia: The Voyage of the Dawn Treader ,-0.05994342428865939,2.7937279411487523,0.10453579818785029,0.15140361443599476,-0.5074516920906955,0.6845179743747887,0.6855496515634277,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
111,Pearl Harbor ,-0.23774211245923,2.4422979814595007,1.1073484555267337,-0.3948651125392976,-0.2751001066576936,0.38450270237749373,1.9983432682199211,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
112,Transformers ,0.6512513283936222,2.676584621252335,2.86657109085444,0.002421234351824117,-0.4288319729739433,2.0467494796598036,3.6745374443575267,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
116,Hancock ,0.028955919796626303,2.676584621252335,1.7154061327024464,-0.3948651125392976,0.5358004124413511,1.4142848522060467,2.408348625719057,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,I Am Legend ,0.7401506724789079,2.676584621252335,2.986855638897553,0.15140361443599476,0.10948009998416319,1.4548274565300054,2.80487866859727,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,Charlie and the Chocolate Factory ,0.2956539520524818,2.676584621252335,1.5567381008325674,-0.3948651125392976,2.352722665579296,1.073726975884793,2.108721841450789,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,Ratatouille ,1.4513454251611895,2.676584621252335,2.5998765060418214,0.10174282107460454,-0.3070190111047116,1.4142848522060467,2.1084299088569116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Batman Begins ,1.7180434574170458,2.676584621252335,6.043381623825974,0.35004678788155563,2.4386080693817904,2.7116481905727277,2.093208380561215,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
121,Madagascar: Escape 2 Africa ,0.2956539520524818,2.676584621252335,0.37328130517238717,-0.3948651125392976,-0.38112899489927915,0.1898982016224916,1.739609857378361,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
122,Night at the Museum: Battle of the Smithsonian ,-0.4155408006297998,2.676584621252335,0.26634133351278333,-0.29554352581651716,2.1620610777913787,0.3358515771887432,1.7014173135832993,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,X-Men Origins: Wolverine ,0.2956539520524818,2.676584621252335,1.8395208797686124,-0.3948651125392976,1.4612983168941323,1.6737575198793828,1.7382162549988005,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
125,Frozen ,1.0957480488200482,2.676584621252335,2.245182419561257,2.4854609024213348,-0.41635503858256584,2.127834688307721,4.817515120422892,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
126,The Matrix Reloaded ,0.7401506724789079,2.676584621252335,2.246269000844393,-0.3948651125392976,-0.5189765712473896,1.0656184550200012,3.154928170945119,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
127,Thor: The Dark World ,0.6512513283936222,3.145157900838004,2.19365130220855,2.7337648692282857,2.450884571092182,2.7765163574910616,2.107377582344212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
129,Angels & Demons ,0.2956539520524818,2.676584621252335,0.7931091484439123,-0.3948651125392976,0.3034989351785957,1.2521144349102116,1.0897799777994892,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
130,Thor ,0.5623519843083373,2.676584621252335,3.0238265670562425,2.7337648692282857,2.4637122626752848,3.0197719834348145,1.7540011526892914,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
131,Bolt ,0.4734526402230524,2.676584621252335,0.3783542815380266,-0.3948651125392976,0.456779827962627,0.6601924117804134,0.8203750907566718,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
132,G-Force ,-1.1267355533120822,2.676584621252335,-0.3939605299826938,-0.3948651125392976,-0.4346445207225369,0.011510742597072986,0.8952010898674769,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133,Wrath of the Titans ,-0.5044401447150855,2.676584621252335,0.4195085476367882,0.5486899613271164,0.2652162931102728,1.3494166852877127,0.3963331267065466,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
134,Dark Shadows ,-0.14884276837394428,1.5051514222881626,0.7333471778714533,3.6773199430947,3.5054611220999368,3.100857192082732,0.34155570793059786,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
136,The Wolfman ,-0.5044401447150855,2.676584621252335,-0.010940627677387734,-0.3948651125392976,0.10922955913293071,1.7305171659329253,0.09373531690746562,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
137,The Legend of Tarzan ,0.2067546079671961,3.379444540630838,-0.330599258909848,1.0452978949410185,0.5153061708105343,0.8466883916706238,0.959776878007296,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
138,Bee Movie ,-0.14884276837394428,2.676584621252335,0.10084142182518918,-0.3948651125392976,-0.2162230066180608,0.408828264971869,0.995266138252643,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
139,Kung Fu Panda 2 ,0.8290500165641927,2.676584621252335,0.6225090958586004,0.5983507546885067,0.5072888635710949,1.138595142803127,1.533917049028762,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140,The Last Airbender ,-1.9268296500796487,2.676584621252335,0.1894589165979186,0.4990291679657263,-0.4025752917647794,1.10616105934396,1.064528115168849,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
